index,bigcategory,smallcategory,size,XXS以下,20cm以下,,,,,,,,,,,,,,
レディース,ジャケット/アウター,Gジャン/デニムジャケット,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,レザージャケット,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ダウンジャケット,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ライダースジャケット,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ミリタリージャケット,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ダウンベスト,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ジャンパー/ブルゾン,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ポンチョ,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ロングコート,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,トレンチコート,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ダッフルコート,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ピーコート,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,チェスターコート,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,モッズコート,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,スタジャン,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,毛皮/ファーコート,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,スプリングコート,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,スカジャン,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,その他,XS(SS),,,,,,,,,,,,,,,,
レディース,パンツ,デニム/ジーンズ,XS(SS),,,,,,,,,,,,,,,,
レディース,パンツ,ショートパンツ,XS(SS),,,,,,,,,,,,,,,,
レディース,パンツ,カジュアルパンツ,XS(SS),,,,,,,,,,,,,,,,
レディース,パンツ,ハーフパンツ,XS(SS),,,,,,,,,,,,,,,,
レディース,パンツ,チノパン,XS(SS),,,,,,,,,,,,,,,,
レディース,パンツ,ワークパンツ/カーゴパンツ,XS(SS),,,,,,,,,,,,,,,,
レディース,パンツ,クロップドパンツ,XS(SS),,,,,,,,,,,,,,,,
レディース,パンツ,サロペット/オーバーオール,XS(SS),,,,,,,,,,,,,,,,
レディース,パンツ,オールインワン,XS(SS),,,,,,,,,,,,,,,,
レディース,パンツ,サルエルパンツ,XS(SS),,,,,,,,,,,,,,,,
レディース,パンツ,ガウチョパンツ,XS(SS),,,,,,,,,,,,,,,,
レディース,パンツ,その他,XS(SS),,,,,,,,,,,,,,,,
レディース,スカート,ミニスカート,XS(SS),,,,,,,,,,,,,,,,
レディース,スカート,ひざ丈スカート,XS(SS),,,,,,,,,,,,,,,,
レディース,スカート,ロングスカート,XS(SS),,,,,,,,,,,,,,,,
レディース,スカート,キュロット,XS(SS),,,,,,,,,,,,,,,,
レディース,スカート,その他,XS(SS),,,,,,,,,,,,,,,,
レディース,ワンピース,ミニワンピース,XS(SS),,,,,,,,,,,,,,,,
レディース,ワンピース,ひざ丈ワンピース,XS(SS),,,,,,,,,,,,,,,,
レディース,ワンピース,ロングワンピース,XS(SS),,,,,,,,,,,,,,,,
レディース,ワンピース,その他,XS(SS),,,,,,,,,,,,,,,,
レディース,靴,ハイヒール/パンプス,,,,,,,,,,,,,,,,,
レディース,靴,ブーツ,,,,,,,,,,,,,,,,,
レディース,靴,サンダル,,,,,,,,,,,,,,,,,
レディース,靴,スニーカー,,,,,,,,,,,,,,,,,
レディース,靴,ミュール,,,,,,,,,,,,,,,,,
レディース,靴,モカシン,,,,,,,,,,,,,,,,,
レディース,靴,ローファー/革靴,,,,,,,,,,,,,,,,,
レディース,靴,フラットシューズ/バレエシューズ,,,,,,,,,,,,,,,,,
レディース,靴,長靴/レインシューズ,,,,,,,,,,,,,,,,,
レディース,靴,その他,,,,,,,,,,,,,,,,,
レディース,ルームウェア/パジャマ,パジャマ,XS(SS),,,,,,,,,,,,,,,,
レディース,ルームウェア/パジャマ,ルームウェア,XS(SS),,,,,,,,,,,,,,,,
レディース,レッグウェア,すべて,XS(SS),,,,,,,,,,,,,,,,
レディース,レッグウェア,ソックス,XS(SS),,,,,,,,,,,,,,,,
レディース,レッグウェア,スパッツ/レギンス,XS(SS),,,,,,,,,,,,,,,,
レディース,レッグウェア,ストッキング/タイツ,XS(SS),,,,,,,,,,,,,,,,
レディース,レッグウェア,レッグウォーマー,XS(SS),,,,,,,,,,,,,,,,
レディース,レッグウェア,その他,XS(SS),,,,,,,,,,,,,,,,
レディース,帽子,ニットキャップ/ビーニー,,,,,,,,,,,,,,,,,
レディース,帽子,ハット,,,,,,,,,,,,,,,,,
レディース,帽子,ハンチング/ベレー帽,,,,,,,,,,,,,,,,,
レディース,帽子,キャップ,,,,,,,,,,,,,,,,,
レディース,帽子,キャスケット,,,,,,,,,,,,,,,,,
レディース,帽子,麦わら帽子,,,,,,,,,,,,,,,,,
レディース,帽子,その他,,,,,,,,,,,,,,,,,
レディース,バッグ,ハンドバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,トートバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,エコバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,リュック/バックパック,,,,,,,,,,,,,,,,,
レディース,バッグ,ボストンバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,スポーツバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,ショルダーバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,クラッチバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,ポーチ/バニティ,,,,,,,,,,,,,,,,,
レディース,バッグ,ボディバッグ/ウェストバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,マザーズバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,メッセンジャーバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,ビジネスバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,旅行用バッグ/キャリーバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,ショップ袋,,,,,,,,,,,,,,,,,
レディース,バッグ,和装用バッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,かごバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,その他,,,,,,,,,,,,,,,,,
レディース,アクセサリー,ネックレス,,,,,,,,,,,,,,,,,
レディース,アクセサリー,ブレスレット,,,,,,,,,,,,,,,,,
レディース,アクセサリー,バングル/リストバンド,,,,,,,,,,,,,,,,,
レディース,アクセサリー,リング,,,,,,,,,,,,,,,,,
レディース,アクセサリー,ピアス(片耳用),,,,,,,,,,,,,,,,,
レディース,アクセサリー,ピアス(両耳用),,,,,,,,,,,,,,,,,
レディース,アクセサリー,イヤリング,,,,,,,,,,,,,,,,,
レディース,アクセサリー,アンクレット,,,,,,,,,,,,,,,,,
レディース,アクセサリー,ブローチ/コサージュ,,,,,,,,,,,,,,,,,
レディース,アクセサリー,チャーム,,,,,,,,,,,,,,,,,
レディース,アクセサリー,その他,,,,,,,,,,,,,,,,,
レディース,ヘアアクセサリー,ヘアゴム/シュシュ,,,,,,,,,,,,,,,,,
レディース,ヘアアクセサリー,ヘアバンド/カチューシャ,,,,,,,,,,,,,,,,,
レディース,ヘアアクセサリー,ヘアピン,,,,,,,,,,,,,,,,,
レディース,ヘアアクセサリー,その他,,,,,,,,,,,,,,,,,
レディース,小物,長財布,,,,,,,,,,,,,,,,,
レディース,小物,折り財布,,,,,,,,,,,,,,,,,
レディース,小物,コインケース/小銭入れ,,,,,,,,,,,,,,,,,
レディース,小物,名刺入れ/定期入れ,,,,,,,,,,,,,,,,,
レディース,小物,キーケース,,,,,,,,,,,,,,,,,
レディース,小物,キーホルダー,,,,,,,,,,,,,,,,,
レディース,小物,手袋/アームカバー,,,,,,,,,,,,,,,,,
レディース,小物,ハンカチ,,,,,,,,,,,,,,,,,
レディース,小物,ベルト,,,,,,,,,,,,,,,,,
レディース,小物,マフラー/ショール,,,,,,,,,,,,,,,,,
レディース,小物,ストール/スヌード,,,,,,,,,,,,,,,,,
レディース,小物,バンダナ/スカーフ,,,,,,,,,,,,,,,,,
レディース,小物,ネックウォーマー,,,,,,,,,,,,,,,,,
レディース,小物,サスペンダー,,,,,,,,,,,,,,,,,
レディース,小物,サングラス/メガネ,,,,,,,,,,,,,,,,,
レディース,小物,モバイルケース/カバー,,,,,,,,,,,,,,,,,
レディース,小物,手帳,,,,,,,,,,,,,,,,,
レディース,小物,イヤマフラー,,,,,,,,,,,,,,,,,
レディース,小物,傘,,,,,,,,,,,,,,,,,
レディース,小物,レインコート/ポンチョ,,,,,,,,,,,,,,,,,
レディース,小物,ミラー,,,,,,,,,,,,,,,,,
レディース,小物,タバコグッズ,,,,,,,,,,,,,,,,,
レディース,小物,その他,,,,,,,,,,,,,,,,,
レディース,時計,腕時計(アナログ),,,,,,,,,,,,,,,,,
レディース,時計,腕時計(デジタル),,,,,,,,,,,,,,,,,
レディース,時計,ラバーベルト,,,,,,,,,,,,,,,,,
レディース,時計,レザーベルト,,,,,,,,,,,,,,,,,
レディース,時計,金属ベルト,,,,,,,,,,,,,,,,,
レディース,時計,その他,,,,,,,,,,,,,,,,,
レディース,ウィッグ/エクステ,前髪ウィッグ,,,,,,,,,,,,,,,,,
レディース,ウィッグ/エクステ,ロングストレート,,,,,,,,,,,,,,,,,
